Employee_ID,Hire_Date,Department,Level,Gender,Age,Base_Salary,Bonus_USD,Total_Comp,Tenure_Years,Performance_Score,Attrition,Satisfaction_Score,Training_Hours,Absences
EMP-0001,2021-10-12,Operations,Director,M,35,94918.08,18598.92,113517,3.2,2.9,No,3.2,61,8
EMP-0002,2019-10-12,Legal,Director,F,29,143433.06,16014.12,159447.18,5.2,3.8,No,1.4,65,12
EMP-0003,2020-09-20,Engineering,Mid,M,22,151633.56,31208.29,182841.85,4.3,2.9,Yes,2.7,8,8
EMP-0004,2018-06-03,Engineering,Director,M,47,124025.01,16154.43,140179.44,6.6,3.8,Yes,1.2,22,20
EMP-0005,2022-08-01,Finance,Director,Non-binary,40,63238.24,12394.05,75632.29,2.4,3,No,3.5,4,11
EMP-0006,2018-11-01,Marketing,Junior,F,47,86203.51,8515.68,94719.19,6.2,3.3,Yes,1.1,8,2
EMP-0007,2023-05-24,HR,Senior,F,36,122922.69,5977.89,128900.58,1.6,4.7,Yes,1,22,13
EMP-0008,2023-02-18,Sales,Manager,F,43,172317.24,34590.2,206907.44,1.9,4.8,Yes,4.3,73,8
EMP-0009,2022-07-19,Product,Mid,F,51,133831.23,29995.72,163826.95,2.5,4.4,No,1.5,8,12
EMP-0010,2018-11-23,Finance,Senior,M,44,109893.11,267.13,110160.24,6.1,4.3,No,2.1,51,10
EMP-0011,2016-09-06,Product,Senior,F,35,164675.86,11077.57,175753.43,8.3,4.8,No,3,25,7
EMP-0012,2018-05-07,Finance,Mid,F,44,57619.36,1536.84,59156.2,6.7,4.7,No,3.5,69,1
EMP-0013,2022-06-20,HR,Lead,Non-binary,39,106166.78,26127.5,132294.28,2.5,4.7,No,2.6,73,4
EMP-0014,2015-09-26,Legal,Lead,Non-binary,24,107858.91,10616.47,118475.38,9.3,3.7,No,2.8,15,16
EMP-0015,2022-06-23,Engineering,Junior,F,46,119246.19,9701.76,128947.95,2.5,3.5,No,1.7,33,7
EMP-0016,2019-08-20,HR,Senior,F,53,96471.72,10107.65,106579.37,5.4,4,No,4.4,35,14
EMP-0017,2017-10-05,Finance,Junior,F,37,115524.31,24731.12,140255.43,7.2,1.8,No,2.9,1,5
EMP-0018,2021-08-05,HR,Lead,F,38,116510.08,16539.61,133049.69,3.4,2.6,No,1.2,32,15
